level,theoretical_ratio,avg_quantization
0,0.80,1.00
2,1.06,1.33
4,1.40,1.75
6,1.50,1.88
8,1.81,2.27
10,2.34,2.92
12,2.80,3.50
14,2.90,3.63
16,3.36,4.20
18,3.75,4.69
20,4.01,5.02
22,4.26,5.33
24,4.65,5.81
26,4.86,6.08
28,5.15,6.44
30,5.40,6.75
32,5.58,6.97
34,5.90,7.38
36,6.21,7.77
38,6.44,8.05
40,6.88,8.59
42,7.20,9.00
44,7.61,9.52
46,7.85,9.81
48,8.21,10.27
50,8.35,10.44
52,8.53,10.66
54,8.78,10.97
56,8.97,11.22
58,9.31,11.64
60,9.78,12.22
62,9.98,12.47
64,10.34,12.92
66,10.60,13.25
68,10.94,13.67
70,11.04,13.80
72,11.35,14.19
74,11.88,14.84
76,12.34,15.42
78,12.44,15.55
80,12.90,16.13
82,13.29,16.61
84,13.55,16.94
86,13.80,17.25
88,14.19,17.73
90,14.40,18.00
92,14.69,18.36
94,14.94,18.67
96,15.11,18.89
98,15.44,19.30
100,15.75,19.69
102,15.98,19.97
104,16.41,20.52
106,16.74,20.92
108,17.15,21.44
110,17.39,21.73
112,17.75,22.19
114,17.89,22.36
116,18.06,22.58
118,18.31,22.89
120,18.51,23.14
122,18.85,23.56
124,19.31,24.14
126,19.51,24.39
128,19.88,24.84
130,20.14,25.17
132,20.48,25.59
134,20.58,25.72
136,20.89,26.11
138,21.41,26.77
140,21.88,27.34
142,21.98,27.47
144,22.44,28.05
146,22.83,28.53
148,23.09,28.86
150,23.34,29.17
